krama,ngoko
lampahipun jujug ing latar ngajeng griya mathokan nembung dhateng tiyang ingkang wonten ing mathokan kyai bok inggih kula nyuwun ulam sakedhik minangka jampi luwe,mlaku ning latar ngarep omah takon wong sing ana ing pawon mbok aku njaluk sega dikit dadi obat lapar
para tiyang mangsuli sereng heh bocah kang ora weruh ing tata iwake ta lagi arep diolah kowe kok wani anjaluk sing kangelan ta durung weruh rasane kebat kowe lungaa saka kene nek kowe ora nuli lunga mengko kowe kepranangan ing gegitik,heh bocah ora ngerti tata krama iwak mau arep diolah kok malah njaluk sing angel durung ngerti susahe malah wani wani mlebu omahmu nek ora lungo tak gigit
yitma lajeng kesah dhateng pawon,terus menyang pawon
amanggihi juru adang nama nyai lembah nembung anedha sekul,golek dalang jenenge nyai lembah nembung sing mlaku mlaku
nyai lembah anyukani sekulipun tempeleng ing godhong jati,mbok lembah nyubit kupinge tempel ing godhong jati
bagus tak wehi sega nanging ora ana iwake jaluka iwak menyang mathokan,apik tak kei sega tapi ora ono iwake goleki iwak nang pasar
yitma wicanten inggih nyai sanget panuwun panarimah kula sampeyan paring sekul dhateng kula kalihan malih kula aningali wonten sada sumelap ing gedheg manawi kapareng kula suwun,matur nuwun bu wis diwenehi sekul aku weruh ana sing klelep ing gudang nek oleh tak njupuk
iya jukuken gus yitma meling dhateng nyai lembah mangke menawi wonten swaraning tiyang rame utawi swara kumarasak kados lampahing banjir ageng nyai kula purih enggal numpak lesung sarta ambekta enthong kadamel welah anuruta,iya tak jupuk yen ana swara rame utawa kaya banjir gedhe aku langsung numpak lesung gek nggawa enthong wis
lampahing toya ing pundi kendeling lesung sampeyan lajeng amentasa lajeng sampeyan dhekahi wonten ing ngriku,air mau mili ning endi lesunge terus mampir terus kowe dekokno nang kono
nyai lembah sampun nyagahi,mbok lembah wis nggawe
kocap sang yitma bekta sekul satepelang kalihan nyangking sada saeler dhateng ing mathokan nembung anedha ulam sakedhik sarta andedahaken sekul ingkang kabuntel ing godhong jati ingkang tanpa ulam,bocah yatim iku nggawa roti sepotong karo nyangking banyu segelas menyang dalan arep mangan iwak sithik lan nuduhake roti sing dibungkus godhong jati sing ora ana iwake
juru mathokan sangsaya nepsu sa yitma dipun dhupaki sekulipun wutah dhawah ing sati,wong sing ngatur acara tambah kepingin supaya bocah yatim diwenehi woh wohan
sang yitma wicanten he kyai dika pun watak brangasan andhupaki wong kang boten salah hla kula saniki ajeng gawe pasanggiri niki sada saeler kula tancepake onten,anak yatim iki omong kyai watakmu kasar nganiaya wong sing ora salah aku arep ngadu iki sebab salahku ditancepake
satengah latar sinten kang bisa bedhol hla kula trima dika sembeleh manangka wuwuhe iwak kang dika olah nanging nek dika boten pecus bedhol kula mung jaluk iwak mentah sathithik kula gawe tamba luwe,setengah jam maneh yen isa melu mburu aku trima kok disembelih dadi wohing iwak sing kok masak tapi yen ora isa melu mburu aku mung njaluk iwak mentah sithik tak gawe obat lapar
umbul ing banarawa wicanten,mangan ing warung
he bocah iki kumalungkung angina marang wong tuwa akeh iya mara tancepna sadamu,cah iki disuguhi angin marang wong tuwa akeh iya mara tepakno dodomu
sa yitma lajeng anancepaken sada ingkang sampun kacepengan wonten satengahing latar,aku terus nembangake lagu sing wis tak apal ing tengah lapangan
umbul ingkang angrumiyini ambedhol nanging boten saged ambedhol lajeng gentos gentos ambedhol ugi boten kabedhol,sumur sing nyoba ngedol tapi ora bisa terus ganti ganti ngedol tetep ora bisa didol
tiyang,wong
sadhusun nepsu sadaya badhe anyepeng sang yitma sumedya dipun pejahi,wong wong kabeh arep nyiksa anak yatim sing arep dipateni
sang yitma sumerep sedyaning para tiyang wau sang yitma angeningaken cipta lajeng abedhol sada ingkang tumancep wau bedholing sada ambekta siti kakipataken mengaler dhawah sakidul wetanipun redi kangungrungan dados redi nama kendhalisada dados redi wau saking kendhalining sada,bocah yatim iku weruh wong wong mau banjur bocah yatim iku tentrem ati terus njebol driji kang wus nancep mau jebolane driji iku nggawa lemah dipatok mengaler kidul w tan gunung kang ungrungan dadi gunung jenenge kendhalisada dadi gunung iku saka jebolane driji
tilas panggenan sada ingkang kabedhol wau sanalika madal toyanipun langkung dening ageng angelem dhusun banarawa tiyang ing ngriku boten saged angungsekaken gesang matemah tiyang sa banarawa sadaya pejah kabalabag,wingi deso jebol banyu gedhe banget ngrembug desa wong wong ora bisa nyelamatke awak kabeh mati kabeh
namung nyai lembah sareng mireng swara rame saanak putunipuripun kajak numpak lesung kawelahan ing enthong,cuma mbah lebah krungu suwara rame anak putune podo numpak lesung keblinger nang enthong
sareng dumugi wana mangkelang lesung minggir kendel nyai lembah saanak putunipun sami medal lajeng dhedhekah wonten ing ngriku lesung wau sapunika inggih taksih nanging maujud sela kaleres wonten sangandhaping kreteg tuntang lepenipun nama lepen tuntang,bareng tekan alas lesunge minggir kendel nyai lembah karo anak putune kabeh metu terus dhahar ana kana lesunge saiki isih ana ning dadi watu ana ing ngisor jembatan tuntang jenenge kali tuntang
sada ingkang kacepeng sa yitma lajeng saged malih warni taksaka ageng sabokoting tal matur dhateng sa yitma badhe dherek sapurug purugipun sang yitma inggih nampeni sasedyanipun taksaka,si sing dijak yitma terus bisa ganti wujud dadi ular gedhe sakwise matur marang yitma arep melu mlayu mlayune yitma yitma nerima
sa yitma enggal medhet ulam ingkang wonten samaran bilih ingkang dhateng thokan sakepel wicanten dhateng taksaka balih badhe sowan ingkang rama dhateng wukir katelamaya,mbok enggal njupuk sega sing ana ing pawon nek sing teka saka desa ngomong karo ular arep sowan bapake ning gunung suwe
kacariyos ajar salokatan tansah manungku puja semedi kasaru dhatengipun ingkang putra kairing ing taksaka ageng sang resi boten kasamaran bilih ingkang dhateng ingkang putra yitmanipun sa baruklinthing ingkang sampun dipun ruwat dening tiyang banarawa,dicritakake wong sak kampung tansah padha sembah sujud meditasi ngenteni putrane kang lagi digawa ular gedhe resine ora salah yen sing teka iku putrane wis dibersihin wong pinter
sang pandhita ambagekaken kulup bagea satekanira ana padhepokan ingsun,kyai nggawa barang akeh tekan omahe aku
sang yitma matur sarta manganjali dhuh rama saking pangestu paduka manggih raharja,bocah yatim ngaturake lan nyuwun pangestu bapak muga muga oleh berkah
sira ingsun deleng diiring taksaka naga iku saka ngendi ajal kamulane,kowe tak deleng diiringi naga iku saka ngendi mati matine
inggih panembahan punika taksaka kadadosan saking sada ingkang sampun katancepaken wonten dhusun banarawa kadamel pasanggiri sareng punika,iya gusti iki ular kejadian saka sumpah sing wis ditetepake ing dusun banarawa dadi pasanggiri
sada kula bedhol lajeng malih dados taksaka naga saged tata jalma wicanten kedah tumut salampah kula,aku berubah dadi naga yen wong ngomong kudu nurut karo aku
saha kula sak punika bekta daging sakepel saking banarawa,aku iki nggawa daging sepotong saka pasar
sang pandhita ngandika prayoga banget sira gawa dagingira ing saiki untalen aja ngago ambekan,mbok yo gelem gawa daging e saiki cepet en aja ngenteni
sira bisa netepi paribasan kaya ta yen manungsa urip ana mertyapada upamane keris manjing warangka nanging besuk yen ana ngendrabuwana warangka manjing curiga iku tegese bisa agulung jagad,kowe iso nglakoni paribasan kaya yen manungsa urip ning donya iku kaya keris nang warangka ning mengko yen ana sing butuh warangka mlebu keris iku tegese isa ngatur donya
dadi saiki sira iku kulup wis nyata aran manungsa kang utama karana wis badan rohkani iya iku kang sinebut loroning tunggal dadi sawiji,saiki kowe wis dadi manungsa sejati wis urip rohani wis dadi siji
ing saiki kulup kowe sira ingsun paringi jeneng jaka bandhung dene mitranira taksaka ingsun tangeri aran sarpabangsa isun patah manggon ana ing umbul banarawa nanging banarawa saiki ingsun elih aran umbul pening awit dadine umbul mau jalaran jaka bandhung angeningake pancadriya,saiki kowe tak jenengi jaka bandung kancane tak saka aku ganti jenenge dadi sarpabangsa aku manggon ana umbul banarawa nanging saiki tak ganti jenenge umbul pening amarga umbul iku gara gara jaka bandung ngeneningake pancadriya
sang pandhita ngandika malih he kulup bandhung ingsun miyarsa warta yen panjenengane sang prabu tejaningrat ing nagara majapait punika karaton majapait ingkang sapisan angundhangake sayembara sapa kang bisa angusadani gerahe ingkang putra aran dewi kasmalawati yen nganti bisa mulya kaya kang nguni uni bakal kaganjar saleksa karya lan katriman,ki pandhita ngomong maneh kowe kulup bandhung aku krungu kabar yen prabu tejaningrat ing majapait kraton majapait sing pertama nganakake sayembara sapa wae sing bisa ngobati penyakit putrane sing jenenge dewi kasmalawati yen bisa mari kaya biyen bakal diparingi hadiah sepuluh ewu karya lan ditampa
putri mau dene gerahe sa putri mau diridhu godha dening gandarwo aran mangkara kang makayangan ing gunung semeru dadi sang retna mau gerah owah saka panggawene gandarwo mangkara,bojo mau lara jalaran dienggo enggo gandhawa jenenge mangkara sing ndunungi gunung semeru dadi bojone lara gara gara ulah gandhawa mangkara
nanging lamun sira kang ngusadini masthi bisa mulya sabab sira bisa weruh marang gandarwo dhustha wis,nanging nek kowe sing ngobati mesthi bakal sugih mergo kowe isa ngerti roh jahat iku wis
kulup sira enggal mangkata lan si sarpabangsa tak lilani bali marang umbul pening anglurahana para jin ing kono,kowe cepet lungo lan ular ular kuwi tak enteni bali ning sumber panggonane para jin
jaka bandhung kalihan sarpabangsa sampun pamit asumungkem pada sang wiku sadumugining jawi pratapan jaka bandhung lan sarpabangsa pepisahan sarpabangsa dhateng pening jaka bandhung lampahipun mangetan dhateng nagari majapait sadumugining praja lajeng sowan nayaka waktra anama kyai patih,jaka bandung karo sarpabangsa wis pamit sungkem marang para wiku jaka bandung lan sarpabangsa pisah sarpabangsa tindak ninggal jaka bandung pergiane mangetan menyang majapahit teka kraton terus sowan marang nayaka waktra jenenge kyai patih
gajahendra saweg lenggah wonten ing pasowanan kaadhep para bupati jaka bandhung matur dhateng kyai patih kula nuwun sowan kula ing paduka perlu badhe anglebeti undhang sayembaranipun sang aprabu,gajahmada lagi lungguh ing paseban kepethuk para bupati jaka bandung matur marang kyai patih aku nuwun sowan perlu ngerti undhang undhang sayembara raja
e sira iku bocah saka ngendi lan sapa sumarmanira sarta sapa jenengira,kowe bocah ngendi lan sapa wong tuamu jenengmu sapa
kula nuwun nama kula pun jaka bandhung bapak kula nama ajar salokantara pratapanipun ing redi katelamaya marbabu,jenengku jaka bandung bapakku ajar salokantara tapa ing gunung marbabu
iya prayoga sira darbe tur saguh angusadani sang retna ayo tak irid sowan ing ngabyantara nata,iya kudu nduwe lan gelem ngurus perhiasan ayo tak jak ketemu karo raja
kyai patih sampun munjuk sang prabu kawula nuwun gusti sa prabu abdi dalem kawula anyaosi wuninga ing paduka sang prabu bilih wonten lare dhateng nama,patih wis matur marang raja aku njaluk marang gusti raja aku ngerti yen ana anak teka jenenge
jaka bandhung anakipun ajar salokantara ing redi marbabu sagah angaturi usada gerahipun putra paduka sang retna ananging warninipun saru sanget,jaka bandung anak ajar salokantara nang gunung marbabu arep ngaturi obat lara anak raden retna nanging werne obat elek banget
sang prabu ngandika iya patih dahat sukaning panggalih isun bab warna ala iku ora dadi ngapa janji bisa mulyakake larane sang retna,raja kandha patihe aku ora nggagas banget karo ala ala kuwi ora apa apa sing penting bisa ngobati lara putri
mara enggal timbalana patih,ayo cepet tindak patih
jaka bandhung sampun sowan ing ngarsa sa nata,jaka bandung wis teka nang ngarepe ratu
sa prabu angandika he jaka bandhung sebab sira wus saguh angusadani gerahe putranisun sang retna kasmalawati janji bisa waluya kaya ing nguni uni wis temtu sira sun ganjar bumi desa saleksa karya lan jeneng adipati apa maneh sang retna tak kramakake marang sira,jaka bandung awit kowe wis isa ngobati penyakit putriku retna kasmalawati janji bakal mari kaya biyen mesthi wae kowe tak paringi hadiah tanah sawijining desa lan gelar adipati apa maneh retna tak kawini karo kowe
bandhung munjuka kawula,aku arep mulih
nuwun gusti sa prabu kawula sandika anyaosi usada dhateng putra paduka sang retna nanging kawula kedah sumerep dhateng warnipun sang putri awit gerahipun putra paduka punika dipun ganggu dening gandarwo nama mangkara ingkang makayangan wonten ing wukir semeru bilih gandarwo wau boten dipun cepeng ing saestu putra paduka sang retna boten saged mulya mangka ingatasing bangsaning jin para manungsa boten saged anyamerepi warnipun,aku gusti arep ngobati putrimu retna nanging aku kudu ngerti penyakit putrimu sakite putrimu diganggu gandhawa jenenge mangkara sing ndunungi gunung semeru yen gandhawa iku ora ditanggulangi putrimu retna ora bakal mari wong lan jin ora bakal bisa ngobati
sa prabu tejaningrat langkung dhangan miyarsakaken aturipun jaka bandhung,raja tejaningrat luwih seneng ngrungokake omongane jaka bandung
ngandika dhateng patih gajahendra he patih sa bandhung iriden marang dhatulaya banjur sira jujugna,marang patih gajahendra patih jebul bandung iri karo datulaya terus lungo kono
gedhong panggonane sa putri lan si emban pradapa kanthimu malebu marang kenya puri,omah putri lan dayange kowe mlebu ning kraton
patih munjuk sandika jaka bandhung egal kairid malebet kaputren,patih laporan jaka bandung arep mlebu keputren
jaka bandhung sareng sumerep sang dyah retna kasmalawati sakalakung welas sabab sariranipun sakalangkung risak sarta tanpa ujwala pratandha sampun lami anggenipun nandhang roga boten dangu wonten suwara bayu bajra gumrubug pratandhanipun sa gandarwo dhateng,jaka bandung weruh dyah retna kasmalawati lara banget awak rusak lan ora kinclong wis suwe lara rasane kaya ana angin gedhe gumuruh tandane ana gandhuro datang
bandhung bisik bisik kalihan ki patih mangke sakedhap gandarwo ingkang ngrencana sa putri dhateng awit prabawanipun angin sampun gumrubug,bandung bisik bisik karo patih sakwise gandarwo sing arep njupuk putri amarga angin wis gedhe banget
paduka kula sepata lisah kula kamayan supados,aku lagi bingung aku butuh
mangke paduka ngwuninganana warnaning gandarwo dhustha boten sakedheping netra mangkara sampun dhateng anggegodha dhateng sang retna dipun ajak alambang sari sang putri lajeng jerit sarta amuwun seru gandarwo nginten bilih jaka bandhung boten sumerep ing sasolah tingkahipun,mestine kowe ngerti critane gandhwo ala ora sedhela wae mripate ala wis teka nggoda putri diajak dolan putri banjur jerit lan njaluk tulung gandhwone kira kira jaka bandung ora ngerti salah tingkahe
jaka bandhung boten tahan aningali patrapipun mangkara dhustha bramatya ngadeg nyat lajeng nyepeng dhateng mangkara kawedalaken saking gedhong panggenanipun sang putri sareng mangkara kacapeng dening bandhung sirna sadaya kaprawiranipun badanipun lemes ludhes kados kapuk anglempuruk tanpa daya,jaka bandung ora kuat ndelok tindak tanduk mangkara sing ala banget jaka bandung langsung nyekel mangkara terus mbucalake saka omah putri mangkara dicekel bandung kabeh kekuwatane ilang awak lemes banget kaya kapas anglempuruk ora kuat
